hours_since_fire,departed_count,departed_share,denominator_q9_answered
68.0,69,0.20909090909090908,330
68.5,69,0.20909090909090908,330
69.0,71,0.21515151515151515,330
69.5,71,0.21515151515151515,330
70.0,72,0.21818181818181817,330
70.5,72,0.21818181818181817,330
71.0,75,0.22727272727272727,330
71.5,75,0.22727272727272727,330
72.0,78,0.23636363636363636,330
72.5,78,0.23636363636363636,330
73.0,84,0.2545454545454545,330
73.5,84,0.2545454545454545,330
74.0,91,0.27575757575757576,330
74.5,91,0.27575757575757576,330
75.0,97,0.29393939393939394,330
75.5,97,0.29393939393939394,330
76.0,114,0.34545454545454546,330
76.5,114,0.34545454545454546,330
77.0,144,0.43636363636363634,330
77.5,144,0.43636363636363634,330
78.0,199,0.603030303030303,330
78.5,199,0.603030303030303,330
79.0,245,0.7424242424242424,330
79.5,245,0.7424242424242424,330
80.0,260,0.7878787878787878,330
80.5,260,0.7878787878787878,330
81.0,265,0.803030303030303,330
81.5,265,0.803030303030303,330
82.0,266,0.806060606060606,330
82.5,266,0.806060606060606,330
83.0,266,0.806060606060606,330
83.5,266,0.806060606060606,330
84.0,266,0.806060606060606,330
84.5,266,0.806060606060606,330
85.0,267,0.8090909090909091,330
85.5,267,0.8090909090909091,330
86.0,268,0.8121212121212121,330
86.5,268,0.8121212121212121,330
87.0,269,0.8151515151515152,330
87.5,269,0.8151515151515152,330
88.0,271,0.8212121212121212,330
88.5,271,0.8212121212121212,330
89.0,271,0.8212121212121212,330
89.5,271,0.8212121212121212,330
90.0,271,0.8212121212121212,330
90.5,271,0.8212121212121212,330
91.0,271,0.8212121212121212,330
91.5,271,0.8212121212121212,330
92.0,272,0.8242424242424242,330
92.5,272,0.8242424242424242,330
93.0,272,0.8242424242424242,330
93.5,272,0.8242424242424242,330
94.0,272,0.8242424242424242,330
94.5,272,0.8242424242424242,330
95.0,272,0.8242424242424242,330
95.5,272,0.8242424242424242,330
96.0,272,0.8242424242424242,330
96.5,272,0.8242424242424242,330
97.0,273,0.8272727272727273,330
97.5,273,0.8272727272727273,330
98.0,275,0.8333333333333334,330
98.5,275,0.8333333333333334,330
99.0,277,0.8393939393939394,330
99.5,277,0.8393939393939394,330
100.0,277,0.8393939393939394,330
100.5,277,0.8393939393939394,330
101.0,280,0.8484848484848485,330
101.5,280,0.8484848484848485,330
102.0,282,0.8545454545454545,330
102.5,282,0.8545454545454545,330
103.0,282,0.8545454545454545,330
103.5,282,0.8545454545454545,330
104.0,282,0.8545454545454545,330
104.5,282,0.8545454545454545,330
105.0,282,0.8545454545454545,330
105.5,282,0.8545454545454545,330
106.0,282,0.8545454545454545,330
106.5,282,0.8545454545454545,330
107.0,282,0.8545454545454545,330
107.5,282,0.8545454545454545,330
108.0,282,0.8545454545454545,330
108.5,282,0.8545454545454545,330
109.0,282,0.8545454545454545,330
109.5,282,0.8545454545454545,330
110.0,282,0.8545454545454545,330
110.5,282,0.8545454545454545,330
111.0,282,0.8545454545454545,330
111.5,282,0.8545454545454545,330
112.0,282,0.8545454545454545,330
112.5,282,0.8545454545454545,330
113.0,282,0.8545454545454545,330
113.5,282,0.8545454545454545,330
114.0,282,0.8545454545454545,330
114.5,282,0.8545454545454545,330
115.0,282,0.8545454545454545,330
115.5,282,0.8545454545454545,330
116.0,282,0.8545454545454545,330
116.5,282,0.8545454545454545,330
117.0,282,0.8545454545454545,330
117.5,282,0.8545454545454545,330
118.0,282,0.8545454545454545,330
118.5,282,0.8545454545454545,330
119.0,282,0.8545454545454545,330
119.5,282,0.8545454545454545,330
120.0,282,0.8545454545454545,330
120.5,282,0.8545454545454545,330
121.0,284,0.8606060606060606,330
121.5,284,0.8606060606060606,330
122.0,284,0.8606060606060606,330
122.5,284,0.8606060606060606,330
123.0,284,0.8606060606060606,330
123.5,284,0.8606060606060606,330
124.0,285,0.8636363636363636,330
124.5,285,0.8636363636363636,330
125.0,285,0.8636363636363636,330
125.5,285,0.8636363636363636,330
126.0,285,0.8636363636363636,330
126.5,285,0.8636363636363636,330
127.0,285,0.8636363636363636,330
127.5,285,0.8636363636363636,330
128.0,285,0.8636363636363636,330
128.5,285,0.8636363636363636,330
129.0,286,0.8666666666666667,330
129.5,286,0.8666666666666667,330
130.0,286,0.8666666666666667,330
130.5,286,0.8666666666666667,330
131.0,286,0.8666666666666667,330
131.5,286,0.8666666666666667,330
132.0,286,0.8666666666666667,330
132.5,286,0.8666666666666667,330
133.0,286,0.8666666666666667,330
133.5,286,0.8666666666666667,330
134.0,286,0.8666666666666667,330
134.5,286,0.8666666666666667,330
135.0,286,0.8666666666666667,330
135.5,286,0.8666666666666667,330
136.0,286,0.8666666666666667,330
136.5,286,0.8666666666666667,330
137.0,286,0.8666666666666667,330
137.5,286,0.8666666666666667,330
138.0,286,0.8666666666666667,330
138.5,286,0.8666666666666667,330
139.0,286,0.8666666666666667,330
139.5,286,0.8666666666666667,330
140.0,286,0.8666666666666667,330
140.5,286,0.8666666666666667,330
141.0,286,0.8666666666666667,330
141.5,286,0.8666666666666667,330
142.0,286,0.8666666666666667,330
142.5,286,0.8666666666666667,330
143.0,286,0.8666666666666667,330
143.5,286,0.8666666666666667,330
144.0,286,0.8666666666666667,330
144.5,286,0.8666666666666667,330
