donor_id,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000773,08900,18,1,1,2.0,6.0,80000.0,75000_99999,2,nonfamily_not_living_alone,no_65_plus,18.0,1
donor_h0000774,08900,34,1,1,1.0,4.0,18000.0,15000_19999,1,nonfamily_living_alone,has_65_plus,34.0,1
donor_h0000775,08900,11,2,1,3.0,2.0,171200.0,150000_199999,3,other_male_householder,has_65_plus,11.0,2
donor_h0000776,08900,17,2,1,3.0,1.0,69000.0,60000_74999,3,married_couple,has_65_plus,17.0,2
donor_h0000777,08900,12,2,1,2.0,1.0,22100.0,20000_24999,2,married_couple,no_65_plus,12.0,2
donor_h0000778,08900,14,4,1,4.0,3.0,100100.0,100000_124999,4_plus,other_female_householder,no_65_plus,14.0,4
donor_h0000779,08900,38,1,1,2.0,4.0,108500.0,100000_124999,2,nonfamily_living_alone,no_65_plus,38.0,1
donor_h0000780,08900,20,2,1,2.0,1.0,20000.0,20000_24999,2,married_couple,no_65_plus,20.0,2
donor_h0000781,08900,12,1,1,2.0,6.0,24600.0,20000_24999,2,nonfamily_not_living_alone,no_65_plus,12.0,1
donor_h0000782,08900,8,2,1,2.0,5.0,131600.0,125000_149999,2,nonfamily_living_alone,no_65_plus,8.0,2
donor_h0000783,08900,11,1,1,0.0,4.0,0.0,lt_10000,0,nonfamily_living_alone,no_65_plus,11.0,1
donor_h0000784,08900,21,1,1,1.0,6.0,12000.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,21.0,1
donor_h0000785,08900,26,1,1,1.0,6.0,20100.0,20000_24999,1,nonfamily_not_living_alone,no_65_plus,26.0,1
donor_h0000786,08900,6,4,1,4.0,1.0,139000.0,125000_149999,4_plus,married_couple,no_65_plus,6.0,4
donor_h0000787,08900,20,1,1,2.0,4.0,78400.0,75000_99999,2,nonfamily_living_alone,has_65_plus,20.0,1
donor_h0000788,08900,14,4,1,2.0,1.0,68900.0,60000_74999,2,married_couple,no_65_plus,14.0,4
donor_h0000789,08900,12,2,1,2.0,1.0,28000.0,25000_29999,2,married_couple,has_65_plus,12.0,2
donor_h0000790,08900,16,4,1,2.0,1.0,80000.0,75000_99999,2,married_couple,no_65_plus,16.0,4
donor_h0000791,08900,23,1,1,0.0,6.0,4200.0,lt_10000,0,nonfamily_not_living_alone,has_65_plus,23.0,1
donor_h0000792,08900,8,6,1,2.0,1.0,100000.0,100000_124999,2,married_couple,no_65_plus,8.0,6
donor_h0000793,08900,12,2,1,1.0,3.0,22200.0,20000_24999,1,other_female_householder,no_65_plus,12.0,2
donor_h0000794,08900,22,2,1,2.0,1.0,31200.0,30000_34999,2,married_couple,no_65_plus,22.0,2
donor_h0000795,08900,14,1,1,1.0,6.0,11400.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,14.0,1
donor_h0000796,08900,13,2,1,2.0,1.0,22230.0,20000_24999,2,married_couple,no_65_plus,13.0,2
donor_h0000797,08900,16,2,1,1.0,5.0,52400.0,50000_59999,1,nonfamily_living_alone,has_65_plus,16.0,2
donor_h0000798,08900,12,1,1,1.0,6.0,25000.0,25000_29999,1,nonfamily_not_living_alone,no_65_plus,12.0,1
donor_h0000799,08900,14,4,1,2.0,1.0,54800.0,50000_59999,2,married_couple,has_65_plus,14.0,4
donor_h0000800,08900,9,1,1,0.0,6.0,10200.0,10000_14999,0,nonfamily_not_living_alone,no_65_plus,9.0,1
donor_h0000801,08900,12,1,1,1.0,4.0,2400.0,lt_10000,1,nonfamily_living_alone,no_65_plus,12.0,1
donor_h0000802,08900,12,1,1,1.0,6.0,52200.0,50000_59999,1,nonfamily_not_living_alone,has_65_plus,12.0,1
donor_h0000803,08900,36,2,1,2.0,1.0,41000.0,40000_44999,2,married_couple,no_65_plus,36.0,2
donor_h0000804,08900,7,1,1,1.0,6.0,11200.0,10000_14999,1,nonfamily_not_living_alone,has_65_plus,7.0,1
donor_h0000805,08900,6,3,1,2.0,3.0,90500.0,75000_99999,2,other_female_householder,has_65_plus,6.0,3
donor_h0000806,08900,26,2,1,1.0,3.0,110000.0,100000_124999,1,other_female_householder,no_65_plus,26.0,2
donor_h0000807,08900,12,6,1,2.0,1.0,48600.0,45000_49999,2,married_couple,no_65_plus,12.0,6
donor_h0000808,08900,8,3,1,4.0,1.0,44900.0,40000_44999,4_plus,married_couple,no_65_plus,8.0,3
