sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_03701,0608900,2018,10,2,25000_29999,2,married_couple,has_65_plus,65_plus,29500,2,1
pums_ca_08900_03702,0608900,2018,16,2,125000_149999,3,married_couple,has_65_plus,65_plus,125700,3,1
pums_ca_08900_03703,0608900,2018,14,6,50000_59999,3,other_female_householder,no_65_plus,35_64,52400,3,3
pums_ca_08900_03704,0608900,2018,15,3,125000_149999,1,married_couple,no_65_plus,35_64,149100,1,1
pums_ca_08900_03705,0608900,2018,5,1,35000_39999,3,nonfamily_not_living_alone,has_65_plus,65_plus,36000,3,6
pums_ca_08900_03706,0608900,2018,10,1,25000_29999,1,nonfamily_living_alone,has_65_plus,65_plus,26250,1,4
pums_ca_08900_03707,0608900,2018,14,1,75000_99999,1,nonfamily_not_living_alone,has_65_plus,65_plus,95000,1,6
pums_ca_08900_03708,0608900,2018,12,2,100000_124999,2,married_couple,has_65_plus,65_plus,114930,2,1
pums_ca_08900_03709,0608900,2018,9,1,50000_59999,1,nonfamily_not_living_alone,has_65_plus,65_plus,50900,1,6
pums_ca_08900_03710,0608900,2018,15,3,60000_74999,3,nonfamily_not_living_alone,no_65_plus,35_64,68410,3,7
pums_ca_08900_03711,0608900,2018,4,2,100000_124999,4_plus,married_couple,has_65_plus,65_plus,120700,6,1
pums_ca_08900_03712,0608900,2018,24,2,35000_39999,1,other_male_householder,has_65_plus,65_plus,37100,1,2
pums_ca_08900_03713,0608900,2018,13,2,75000_99999,3,other_female_householder,has_65_plus,35_64,97300,3,3
pums_ca_08900_03714,0608900,2018,3,1,lt_10000,3,nonfamily_living_alone,no_65_plus,35_64,6600,3,4
pums_ca_08900_03715,0608900,2018,15,1,40000_44999,1,nonfamily_living_alone,has_65_plus,65_plus,43400,1,4
pums_ca_08900_03716,0608900,2018,32,1,lt_10000,1,nonfamily_not_living_alone,no_65_plus,35_64,1900,1,6
pums_ca_08900_03717,0608900,2018,20,2,50000_59999,1,other_female_householder,no_65_plus,18_34,57000,1,3
